name,artist,durationSeconds
Get It,Keshi,151
Somebody,Keshi,164
Westside,Keshi,184
Touch,Keshi,205
Milli,Keshi,135
Pere,Keshi,48
Hell/Heaven,Keshi,160
Angostura,Keshi,171
Understand,Keshi,150
 Limbo,Keshi,212
Angel,Keshi,247
Gabriel,Keshi,128
Ew,Joji,207
Modus,Joji,207
Tick Tock,Joji,132
Daylight,Joji,163
Upgrade,Joji,89
Gimme Love,Joji,214
Run,Joji,195
Sanctuary,Joji,180
High Hopes,Joji,182
Nitrous,Joji,131
Pretty Boy,Joji,156
Normal People,Joji,166
Afterthought,Joji,194
Mr. Hollywood,Joji,202
777,Joji,181
Reanimator,Joji,183
Like You Do,Joji,240
Your Man,Joji,163
Missing, entryline